TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,WR,YEAR
Richmond,A10,35,21,4.88472E-01,-1.31346E+00,1.19697E+00,7.18588E-01,-1.41180E+00,-1.47164E+00,1.10434E+00,-1.68683E+00,1.20046E+00,-2.95428E-01,-2.03627E-01,1.08445E+00,-9.31350E-01,-6.79985E-02,-1.67080E+00,-1.79039E+00,5.98538E-01,6.00000E-01,2015
Saint Joseph's,A10,31,13,-6.81544E-01,-8.98842E-01,1.22712E-01,-1.49028E+00,-6.17317E-01,2.39288E-01,1.67290E-01,5.20026E-01,2.73046E-01,1.21672E-01,-5.47552E-01,-1.06236E+00,-9.01202E-01,-1.57028E+00,1.76833E-01,-1.20818E+00,-2.96418E-01,4.19355E-01,2015
Saint Louis,A10,31,10,-1.24590E+00,-5.42461E-02,-9.00246E-01,-1.19793E+00,5.22592E-01,1.42743E+00,1.01510E+00,-5.00351E-01,7.98579E-01,1.26416E+00,1.51599E+00,-1.15058E+00,3.95145E-01,-8.00818E-01,5.46360E-01,-1.40225E+00,-7.65904E-01,3.22581E-01,2015
St. Bonaventure,A10,31,18,-1.03418E-01,-7.14567E-01,4.46596E-01,-9.05577E-01,-5.82775E-01,9.67110E-02,4.79641E-01,1.35056E+00,-1.59746E-01,6.11312E-01,-1.41096E-01,-5.91824E-01,-1.20268E+00,-1.02066E+00,7.51652E-01,-8.84735E-01,3.19781E-01,5.80645E-01,2015
Davidson,A10,32,19,1.35566E+00,4.37155E-01,7.15260E-01,6.86105E-01,6.60763E-01,-2.13700E+00,-1.26060E+00,-1.04613E+00,3.96701E-01,-4.04236E-01,-6.56982E-01,5.84512E-01,8.77507E-01,4.81616E-01,-2.84601E-02,1.15298E+00,8.03938E-01,5.93750E-01,2016
Duquesne,A10,33,16,6.94945E-01,2.98949E-01,3.56520E-01,1.30329E+00,-2.37348E-01,9.67110E-02,-1.34984E+00,-3.34243E-01,-3.45228E-01,-1.68484E-01,5.93652E-01,1.17268E+00,-1.95637E+00,8.84666E-01,2.39399E+00,1.89690E+00,-3.23329E-02,4.84848E-01,2016
Fordham,A10,30,16,-1.86008E-01,-4.22797E-01,1.75191E-01,5.23688E-01,4.53507E-01,8.09598E-01,1.68442E+00,2.58999E-01,-8.08934E-01,-1.68484E-01,8.90677E-01,6.13920E-01,9.07655E-01,1.51847E-01,-3.97987E-01,-7.61196E-02,2.31753E-01,5.33333E-01,2016
George Mason,A10,32,11,-2.41067E-01,-8.17724E-03,-1.69842E-01,-1.55524E+00,-5.82775E-01,-4.58665E-02,-3.75941E+00,9.94619E-01,-2.07640E+00,-2.34059E-02,-7.50780E-01,-1.00354E+00,-9.91645E-01,-1.82676E+00,3.82125E-01,2.79671E-01,-5.89847E-01,3.43750E-01,2016
George Washington,A10,38,28,1.61719E+00,-6.22429E-01,1.37595E+00,2.96305E-01,-4.79147E-01,-1.04391E+00,-5.02034E-01,1.20819E+00,-4.99797E-01,8.28929E-01,-1.21977E+00,-2.09515E-01,-3.28398E-01,1.06787E+00,-5.62221E-01,-1.73153E-01,9.94666E-01,7.36842E-01,2016
La Salle,A10,30,8,-5.43895E-01,3.29661E-01,-6.19833E-01,-7.10677E-01,1.10982E+00,4.91851E-02,2.11911E-01,-1.04613E+00,1.47868E+00,-6.58123E-01,1.52336E-02,-1.09177E+00,5.45883E-01,-2.14562E-01,1.53177E+00,-2.37843E-01,-7.36561E-01,2.66667E-01,2016
