"","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR","YEAR"
"152",-1.03551,1.97339,1.37991,0.16729,-1.37835,0.674925,-1.23844,0.280993,0.1,2015
"153",-0.0610111,-1.4118,0.00165929,-0.680521,-0.500351,-1.79817,0.284886,1.21897,0.566667,2015
"154",-1.26289,-1.4118,-0.0458665,-0.412791,1.84889,-1.27264,-0.386102,-0.406855,0.636364,2015
"155",-0.645711,1.31707,0.857124,2.08602,-1.82921,0.273046,-0.0415407,-0.10983,0.392857,2015
"156",-1.16544,0.384421,2.56805,0.479641,-1.37835,0.30396,0.484368,-0.281792,0.133333,2015
"157",0.653622,-2.30991,0.667021,0.658128,-0.618999,-0.159746,1.42738,0.875044,0.575758,2015
"158",0.263822,-0.479147,-0.140918,0.033425,1.30311,-1.21081,1.59059,-1.1885,0.71875,2016
"159",-1.88008,-0.168262,0.952176,-0.189683,-0.951215,-0.314314,0.30302,-0.0629311,0.266667,2016
"160",-0.255911,1.10982,-1.13896,-0.0558182,-2.46991,1.94239,-0.241023,0.984475,0.28125,2016
"161",-0.223428,1.86976,0.999702,1.05972,-0.334243,0.860407,-0.458641,0.499854,0.266667,2016
"162",-1.03551,0.0389941,-0.901332,-1.57295,0.0454319,-2.41645,0.375559,-0.0472981,0.580645,2016
"163",1.20584,1.52433,1.23733,0.256533,-0.998674,1.04589,-0.241023,0.562386,0.357143,2016
"164",0.0689221,2.24973,-0.616177,0.345776,-1.04613,-0.190659,1.39111,0.624918,0.21875,2016
"165",1.36825,-0.27189,0.239288,-0.859007,-0.191865,-0.407055,0.665716,0.406057,0.611111,2016
"166",0.588655,0.384421,-0.188444,-0.502034,0.875971,-1.82909,-0.204754,-0.531919,0.617647,2017
"167",-0.353361,0.729848,-0.0458665,-0.680521,-1.37835,-0.407055,-0.676258,-0.406855,0.413793,2017
"168",-0.775644,0.62622,0.809598,-0.10044,-1.09359,1.47868,-0.349832,0.0152336,0.28125,2017
"169",-1.42531,1.00619,0.191763,-0.903629,-0.57154,-0.221573,-0.893876,-0.203627,0.225806,2017
"170",0.101405,-0.064634,-0.188444,-1.79606,-0.500351,-2.41645,-0.0778102,-0.86021,0.689655,2017
"171",-0.905577,0.211708,-1.66174,0.479641,0.0454319,-0.221573,-0.313562,0.828146,0.5625,2017
"172",1.56315,1.14436,0.999702,-0.368169,-0.52408,0.365787,-0.549315,0.515487,0.366667,2017
"173",1.33577,0.798934,-1.13896,-0.412791,-1.16478,-0.685279,0.0854029,0.0464994,0.65625,2017
"174",0.198855,0.177165,-0.568651,-0.725142,1.25565,-1.61269,0.448099,-1.20413,0.709677,2018
"175",-0.0610111,0.522592,-0.188444,-0.725142,-0.808837,-0.870761,-0.821337,-0.37559,0.37931,2018
