TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
USC Upstate,50.1,59.5,16.1,15,27,30.8,21.6,36.1,2018,0.250
Florida Gulf Coast,52.6,52.1,21.2,19.2,25.6,30.8,31.9,27.4,2019,0.467
Jacksonville,49.6,52.1,19.9,18.2,28.3,27.4,30.5,28.8,2019,0.400
Kennesaw St.,40.9,53.7,19,17.1,29.2,30.8,30.1,27.7,2019,0.167
Lipscomb,54.8,48.4,17.8,19.6,26,23.8,36.3,27.9,2019,0.829
NJIT,50.7,49,17.1,17.9,21.9,27.1,38.4,29.7,2019,0.647
North Alabama,44.5,52.6,19.3,17.2,27.3,25.1,30.8,38,2019,0.345
North Florida,52.1,48.1,21.8,16.9,29.4,32.7,25.3,30.6,2019,0.516
Stetson,45.5,54.5,17.5,18,27.9,32,25,33,2019,0.241
Illinois,47.6,48,15.2,19.7,30.2,28,31.2,30.4,2015,0.576
Michigan,49.4,50.9,15.6,19.4,25.5,31.2,26.6,26.7,2015,0.484
Minnesota,52.1,50.8,17.7,24.2,30,33.4,32.9,34.5,2015,0.531
Nebraska,46.2,46.8,19.4,20.6,26.7,30.3,36.5,38.5,2015,0.419
Northwestern,50.4,48.4,18.1,15.5,27.6,30.9,28.6,32.8,2015,0.469
Penn St.,48,45.3,18.2,17.8,29.7,31,34.7,41.5,2015,0.529
Rutgers,43.6,49.8,20.1,18.1,30.5,31.4,32.6,32,2015,0.313
Illinois,50.2,53.6,14.9,19,21.5,28.1,30.5,26.5,2016,0.441
Minnesota,45.9,51.7,16.5,17.8,26.5,29.2,37.1,34.2,2016,0.258
Nebraska,50.3,50.1,17.4,19.7,31.8,28.1,32.6,39.7,2016,0.471
Northwestern,52.5,46.5,15.8,16.4,30.5,28.3,28.4,35,2016,0.625
Ohio St.,49.4,46.6,18.8,17.1,30.2,29.1,36,30.4,2016,0.600
Penn St.,46.6,48.8,16.9,17.6,28.7,29.4,34.5,42.5,2016,0.500
Rutgers,45.8,52,18.9,16.1,25.3,35.9,34.5,29.7,2016,0.194
Illinois,50.6,49.9,18.3,18.5,28.6,26.3,32.5,30.1,2017,0.588
Indiana,55.2,48.7,21.4,15.7,36.4,28,34.1,36.8,2017,0.529
Iowa,52.5,51,18.6,19.1,31.8,32.3,34.9,27.5,2017,0.559
Nebraska,46,52,18.6,19.3,33.7,29.9,30,33.3,2017,0.400
Ohio St.,52.2,48.9,19.2,17.5,29.7,28.8,38.1,29.4,2017,0.531
Penn St.,47.2,49.2,17.9,20.3,26.6,30.6,32.8,31.2,2017,0.455
Rutgers,44.7,47.5,19.7,18.9,37.5,30.1,31.2,31.2,2017,0.469
Illinois,49.8,53.3,18.8,23.2,34,31.3,33.1,47.9,2018,0.452
Indiana,51.1,50.8,18.2,19.7,31.8,29.5,36.4,32.2,2018,0.516
Iowa,54.3,53.1,18.7,15.5,34.1,28,35.4,28.1,2018,0.424
Maryland,54.3,47.5,20.4,16.3,31.4,28.2,37.9,24,2018,0.613
Minnesota,48.7,50.5,15.5,16,30,29.5,35.1,27.1,2018,0.469
